"","mean","sd","n","se","vaccination_status3","ethnicity","residence","education_level","income_level"
"1",5.45355499790882,0.739561010400987,11955,0.00676393175156915,NA,NA,NA,NA,NA
"2",5.44909090909091,0.742524190087678,3300,0.0129256870500866,0,NA,NA,NA,NA
"3",5.4552570768342,0.738463970069098,8655,0.00793771998901079,1,NA,NA,NA,NA
"4",5.46798188874515,0.728905284830187,2319,0.0151363347793783,0,"1",NA,NA,NA
"5",5.473823246878,0.837882103601152,347,0.0449798680402641,0,"2",NA,NA,NA
"6",5.30321910695742,0.731129515787733,321,0.0408076701931379,0,"3",NA,NA,NA
"7",5.43528368794326,0.753399332930579,188,0.0549472936462192,0,"4",NA,NA,NA
"8",5.42533333333333,0.69115183586174,125,0.0618184995104251,0,"5",NA,NA,NA
"9",5.46502309155121,0.726028139606189,6135,0.00926928360232932,1,"1",NA,NA,NA
"10",5.47191220238095,0.769340984912626,896,0.0257018783852345,1,"2",NA,NA,NA
"11",5.3576468344775,0.757333376263969,874,0.0256171835833042,1,"3",NA,NA,NA
"12",5.50099601593625,0.74637744462759,502,0.0333124556419074,1,"4",NA,NA,NA
"13",5.40490591397849,0.818698422876949,248,0.0519874018401141,1,"5",NA,NA,NA
"14",5.45650730411687,0.741129836521201,2510,0.0147930401771255,0,NA,"1",NA,NA
"15",5.42552742616034,0.746919389995771,790,0.0265741993258917,0,NA,"2",NA,NA
"16",5.47144724274871,0.737970916953514,6631,0.0090625357519653,1,NA,"1",NA,NA
"17",5.402215085639,0.737773899557637,2024,0.0163990251877645,1,NA,"2",NA,NA
"18",5.33038194444444,0.805805299352041,960,0.0260072542056345,0,NA,NA,1,NA
"19",5.49779202279202,0.709400539143807,2340,0.0146650512650239,0,NA,NA,2,NA
"20",5.32593568436698,0.782592053074542,2467,0.0157561772848913,1,NA,NA,1,NA
"21",5.50681426416721,0.713678521891103,6188,0.00907251039294537,1,NA,NA,2,NA
"22",5.37853730246233,0.775138032761964,1814,0.0181995397435365,0,NA,NA,NA,1
"23",5.5352175863616,0.691216742326677,1486,0.017931013773946,0,NA,NA,NA,2
"24",5.382658738438,0.773354314636927,4793,0.0111705562123734,1,NA,NA,NA,1
"25",5.54535646469877,0.682158779677236,3862,0.0109768906621921,1,NA,NA,NA,2
